id,word,domain,type,tier,language,nsm_prime_ref,nsm_prime_group,position
2054,border,spatial,other,2,ENU,side,SPACE,6
501,both,quantity,determiner,2,ENU,two,QUANTIFIERS,6
1964,bottom,spatial,other,2,ENU,below,SPACE,8
287,breed,relation,verb,2,ENU,kind,RELATIONAL_SUBSTANTIVES,8
1777,brief,temporal,other,2,ENU,a short time,TIME,1
2120,brush,spatial,other,2,ENU,touch,SPACE,8
2210,capable,logic,adjective,2,ENU,can,LOGICAL_CONCEPTS,3
2211,capacity,logic,conjunction,2,ENU,can,LOGICAL_CONCEPTS,4
1300,carry out,action,verb,2,ENU,do,ACTIONS_EVENTS_MOVEMENT,5
2287,case,logic,conjunction,2,ENU,if,LOGICAL_CONCEPTS,9
1143,catch,cognition,verb,2,ENU,hear,MENTAL_PREDICATES,8
282,category,relation,noun,2,ENU,kind,RELATIONAL_SUBSTANTIVES,3
2243,cause,logic,conjunction,2,ENU,because,LOGICAL_CONCEPTS,2
532,certain,quantity,determiner,2,ENU,some,QUANTIFIERS,3
536,certain,quantity,determiner,2,ENU,some,QUANTIFIERS,7
2185,chance,logic,conjunction,2,ENU,maybe,LOGICAL_CONCEPTS,7
289,character,relation,noun,2,ENU,kind,RELATIONAL_SUBSTANTIVES,10
2288,circumstance,logic,conjunction,2,ENU,if,LOGICAL_CONCEPTS,10
198,citizens,entity,noun,2,ENU,people,SUBSTANTIVES,9
283,class,relation,noun,2,ENU,kind,RELATIONAL_SUBSTANTIVES,4
369,close,reference,determiner,2,ENU,this,DETERMINERS,7
2018,close,spatial,other,2,ENU,near,SPACE,1
2025,closeness,spatial,other,2,ENU,near,SPACE,8
913,cognizant,cognition,verb,2,ENU,know,MENTAL_PREDICATES,8
1343,come about,action,verb,2,ENU,happen,ACTIONS_EVENTS_MOVEMENT,4
1186,communicate,communication,verb,2,ENU,say,SPEECH,9
196,community,entity,noun,2,ENU,people,SUBSTANTIVES,7
803,compact,property,adjective,2,ENU,small,DESCRIPTORS,6
2381,comparable,comparison,adjective,2,ENU,like,SIMILARITY,4
2215,competent,logic,conjunction,2,ENU,can,LOGICAL_CONCEPTS,8
564,complete,quantity,determiner,2,ENU,all,QUANTIFIERS,5
326,component,relation,noun,2,ENU,part,RELATIONAL_SUBSTANTIVES,5
909,comprehend,cognition,verb,2,ENU,know,MENTAL_PREDICATES,4
568,comprehensive,quantity,adjective,2,ENU,all,QUANTIFIERS,9
2187,conceivably,logic,adverb,2,ENU,maybe,LOGICAL_CONCEPTS,9
2279,condition,logic,conjunction,2,ENU,if,LOGICAL_CONCEPTS,1
2280,conditional,logic,conjunction,2,ENU,if,LOGICAL_CONCEPTS,2
1301,conduct,action,verb,2,ENU,do,ACTIONS_EVENTS_MOVEMENT,6
11,consciousness,entity,noun,2,ENU,i,SUBSTANTIVES,10
832,consider,cognition,verb,2,ENU,think,MENTAL_PREDICATES,3
599,considerable,quantity,adjective,2,ENU,much many,QUANTIFIERS,6
762,considerable,property,adjective,2,ENU,big,DESCRIPTORS,10
2317,considerably,degree,adverb,2,ENU,very,INTENSIFIER_AUGMENTOR,8
404,consistent,reference,determiner,2,ENU,the same,DETERMINERS,9
405,constant,reference,determiner,2,ENU,the same,DETERMINERS,10
2113,contact,spatial,other,2,ENU,touch,SPACE,1
2088,contained,spatial,verb,2,ENU,inside,SPACE,8
835,contemplate,cognition,verb,2,ENU,think,MENTAL_PREDICATES,6
